text;数列 shùliè;-
option;числовая последовательность;y
option;арифметическая прогрессия;n
option;геометрическая прогрессия;n
option;функция;n
option;ряд;n
text;通项公式 tōngxiàng gōngshì;-
option;формула общего члена;y
option;рекуррентная формула;n
option;сумма прогрессии;n
option;разность прогрессии;n
option;знаменатель прогрессии;n
text;等差数列 děngchà shùliè;-
option;арифметическая прогрессия;y
option;геометрическая прогрессия;n
option;числовая последовательность;n
option;среднее геометрическое;n
option;бесконечная прогрессия;n
text;公差 gōngchā;-
option;разность прогрессии;y
option;знаменатель прогрессии;n
option;шаг;n
option;разница;n
option;отклонение;n
text;等比数列 děngbǐ shùliè;-
option;геометрическая прогрессия;y
option;арифметическая прогрессия;n
option;числовая последовательность;n
option;формула общего члена;n
option;бесконечная прогрессия;n
text;公比 gōngbǐ;-
option;знаменатель (геометрической прогрессии);y
option;разность (арифметической прогрессии);n
option;коэффициент;n
option;отношение;n
option;пропорция;n
text;等差中项 děngchà zhōngxiàng;-
option;среднее арифметическое;y
option;среднее геометрическое;n
option;геометрическая прогрессия;n
option;арифметическая прогрессия;n
option;формула общего члена;n
text;等比中项 děngbǐ zhōngxiàng;-
option;среднее геометрическое;y
option;среднее арифметическое;n
option;арифметическая прогрессия;n
option;геометрическая прогрессия;n
option;корень;n
text;复数 fùshù;-
option;комплексное число;y
option;действительное число;n
option;мнимое число;n
option;вектор;n
option;вероятность;n
text;概率 gàilǜ;-
option;вероятность;y
option;действительное число;n
option;мнимое число;n
option;корень;n
option;действительное число;n
