text;集合 jíhé;-
option;множество;y
option;действительное число;n
option;переменная;n
option;график функции;n
option;координата;n
text;元素 yuánsù;-
option;элемент;y
option;объединение множеств;n
option;знаменатель;n
option;директриса;n
option;промежуток;n
text;子集 zǐjí;-
option;подмножество;y
option;пересечение множеств;n
option;асимптота;n
option;член последовательности;n
option;область определения;n
text;交集 jiāojí;-
option;пересечение множеств;y
option;подмножество;n
option;разность множеств;n
option;пустое множество;n
option;натуральное число;n
text;并集 bìngjí;-
option;объединение множеств;y
option;пересечение множеств;n
option;подмножество;n
option;рациональное число;n
option;элемент;n
text;实数 shíshù;-
option;действительное число;y
option;натуральное число;n
option;целое число;n
option;иррациональное число;n
option;рациональное число;n
text;自然数 zìránshù;-
option;натуральное число;y
option;действительное число;n
option;целое число;n
option;рациональное число;n
option;иррациональное число;n
text;整数 zhěngshù;-
option;целое число;y
option;натуральное число;n
option;действительное число;n
option;рациональное число;n
option;иррациональное число;n
text;有理数 yǒulǐshù;-
option;рациональное число;y
option;действительное число;n
option;натуральное число;n
option;целое число;n
option;иррациональное число;n
text;无理数 wúlǐshù;-
option;иррациональное число;y
option;рациональное число;n
option;действительное число;n
option;натуральное число;n
option;целое число;n
text;区间 qūjiān;-
option;интервал, промежуток;y
option;множество решений;n
option;область определения;n
option;значение функции;n
option;координата;n
text;绝对值 juéduìzhí;-
option;абсолютная величина, модуль;y
option;расстояние;n
option;проекция;n
option;наклон;n
option;коэффициент;n
text;不等式 bùděngshì;-
option;неравенство;y
option;уравнение;n
option;функция;n
option;тождество;n
option;выражение;n
text;解集 jiějí;-
option;множество решений;y
option;область определения;n
option;значение функции;n
option;интервал;n
option;переменная;n
text;函数 hánshù;-
option;функция;y
option;уравнение;n
option;график;n
option;переменная;n
option;последовательность;n
text;定义域 dìngyìyù;-
option;область определения;y
option;область значений;n
option;множество решений;n
option;координатная плоскость;n
option;промежуток;n
text;值域 zhíyù;-
option;область значений;y
option;область определения;n
option;множество решений;n
option;точка пересечения;n
option;значение аргумента;n
text;单调递增 dāndiào dìzēng;-
option;монотонно возрастающий;y
option;монотонно убывающий;n
option;постоянный;n
option;периодический;n
option;ограниченный;n
text;单调递减 dāndiào dìjiǎn;-
option;монотонно убывающий;y
option;монотонно возрастающий;n
option;постоянный;n
option;неограниченный;n
option;непрерывный;n
text;奇函数 qí hánshù;-
option;нечётная функция;y
option;чётная функция;n
option;периодическая функция;n
option;обратная функция;n
option;линейная функция;n
text;偶函数 ǒu hánshù;-
option;чётная функция;y
option;нечётная функция;n
option;периодическая функция;n
option;монотонная функция;n
option;степенная функция;n
text;反函数 fǎn hánshù;-
option;обратная функция;y
option;логарифмическая функция;n
option;показательная функция;y
option;тригонометрическая функция;n
option;периодическая функция;n
text;指数函数 zhǐshù hánshù;-
