m | сложность задачи m | сумма сложностей 1..m | % от макс. балла
---|---------------------|----------------------|------------------
 1 |                   1 |   1 |   0.66
 2 |                   1 |   2 |   1.32
 3 |                   3 |   5 |   3.29
 4 |                   3 |   8 |   5.26
 5 |                   2 |  10 |   6.58
 6 |                   2 |  12 |   7.89
 7 |                   1 |  13 |   8.55
 8 |                   2 |  15 |   9.87
 9 |                   3 |  18 |  11.84
10 |                   1 |  19 |  12.50
11 |                   2 |  21 |  13.82
12 |                   3 |  24 |  15.79
13 |                   2 |  26 |  17.11
14 |                   3 |  29 |  19.08
15 |                   3 |  32 |  21.05
16 |                   3 |  35 |  23.03
17 |                   3 |  38 |  25.00
18 |                   3 |  41 |  26.97
19 |                   3 |  44 |  28.95
20 |                   3 |  47 |  30.92
21 |                   3 |  50 |  32.89
22 |                   3 |  53 |  34.87
23 |                   3 |  56 |  36.84
24 |                   3 |  59 |  38.82
25 |                   3 |  62 |  40.79
26 |                   5 |  67 |  44.08
27 |                   3 |  70 |  46.05
28 |                   2 |  72 |  47.37
29 |                   5 |  77 |  50.66
30 |                   3 |  80 |  52.63
31 |                   4 |  84 |  55.26
32 |                   4 |  88 |  57.89
33 |                   3 |  91 |  59.87
34 |                   4 |  95 |  62.50
35 |                   3 |  98 |  64.47
36 |                   4 | 102 |  67.11
37 |                   3 | 105 |  69.08
38 |                   3 | 108 |  71.05
39 |                   3 | 111 |  73.03
40 |                   4 | 115 |  75.66
41 |                   4 | 119 |  78.29
42 |                   4 | 123 |  80.92
43 |                   5 | 128 |  84.21
44 |                   5 | 133 |  87.50
45 |                   4 | 137 |  90.13
46 |                   5 | 142 |  93.42
47 |                   5 | 147 |  96.71
48 |                   5 | 152 | 100.00
